1,Alabama,4779736,5.7
2,Alaska,710231,5.6
3,Arizona,6392017,4.7
4,Arkansas,2915918,5.6
5,California,37253956,4.4
6,Colorado,5029196,2.8
7,Connecticut,3574097,2.4
8,Delaware,897934,5.8
